№;Наименование;Вода;Жир;Энергетическая;;;;;;;;
10;кефир фруктовый;88;2,5;56;4;;;;;;;
11;майонез;25;67;85;4;;;;;;;
12;маргарин;15,9;82;476;4;;;;;;;
13;масло крестьянское;25;72,5;145;4;;;;;;;
14;масло особое;25;72,5;320;4;;;;;;;
15;молоко 2,5%;89,1;2,5;660;4;;;;;;;
16;молоко 3,2%;88,5;3,2;661;4;;;;;;;
17;молоко 3,6;88,2;3,6;377;4;;;;;;;
18;молоко концентрированное ;73,2;8,6;350;4;;;;;;;
19;молоко сгущеное с сахаром;26;8,5;360;4;;;;;;;
20;молоко сухое;4;25;743;4;;;;;;;
21;оптимум;0;26,5;897;4;;;;;;;
22;Оптимум 6-12;0;27,5;624;4;;;;;;;
23;сметана 20%;72,7;20;78,9;4;;;;;;;
24;сметана 22%;70,6;22;502;4;;;;;;;
25;сметана 25%;68,5;25;389;4;;;;;;;
26;сметана 26%;68,5;26;507;4;;;;;;;
27;"сыр  ""Пошехонский""";41;26,5;512,3;4;;;;;;;
28;"сыр ""Российский""";41;29;507;4;;;;;;;
29;сыр голандский;39;30,5;516,5;4;;;;;;;
30;сыр Демидовский;50;45,0;515;4;;;;;;;
31;"сыр твердый ""Рассвет""";37,5;45;515;4;;;;;;;
32;сырок глазированный;30;27,8;520;4;;;;;;;
33;творог н/ж;77,2;0,6;61;4;;;;;;;
34;творог п/ж;70,3;9;248;4;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;5.Жиры растительные и жировые продукты;;;;;;;;;;;
1;масло растительное ;0,1;99,9;899;5;;;;;;;
2;gdfgggdgdfgdfg;13;3;897;5;;;;;;;
3;жир животный топленый (свиной);0,3;99,7;3;5;;;;;;;
4;ыфвфывфывфывыфвфы;22;22;222;5;;;;;;;
5;;;;;;;;;;;;
6;;;;;;;;;;;;
7;;;;;;;;;;;;
8;;;;;;;;;;;;
9;;;;;;;;;;;;
10;;;;;;;;;;;;
11;;;;;;;;;;;;
12;;;;;;;;;;;;
13;;;;;;;;;;;;
14;;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;6.Овощи, картофель, плоды, ягоды и грибы;;;;;;;;;;;
1;капуста белокачанная;90;0,1;27;6;;;;;;;
2;апельсины;87,5;0,2;80;6;;;;;;;
3;банан;74,0;0,1;19;6;;;;;;;
4;груша;85;0,3;41;6;;;;;;;
5;капуста квашеная;89;0;34;6;;;;;;;
6;картофель;76;0,4;14;6;;;;;;;
7;лук ( перо);93;0;27;6;;;;;;;
8;лук репчатый;86;0;21;6;;;;;;;
9;мандарины;88,5;0,3;35;6;;;;;;;
10;морковь;88;0,1;32;6;;;;;;;
11;морковь соленая;86;0,1;23;6;;;;;;;
12;огурцы;98;0,1;19;6;;;;;;;
13;огурцы соленые;92;0,1;46;6;;;;;;;
14;перец сладкий;90;0;45;6;;;;;;;
15;повидло сливовое ;32,9;0;40;6;;;;;;;
16;помидоры;92;0,2;19;6;;;;;;;
17;помидоры соленые;90;0,1;26;6;;;;;;;
18;редис;93;0,1;13;6;;;;;;;
19;редька;88;0,2;16;6;;;;;;;
20;свекла;86;0,1;232;6;;;;;;;
21;чеснок;80;0;89;6;;;;;;;
22;шампиньоны;91,0;1,0;40;6;;;;;;;
23;щавель;92;0;42;6;;;;;;;
24;яблоки;87;0,4;27;6;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;7.Мясо и мясные продукты;;;;;;;;;;;
1;говядина 1 кат.;64,5;16;218;7;;;;;;;
2;говядина  тушеная;64,3;8,0;168;7;;;;;;;
3;говядина ( вырезка);75,9;2,8;491;7;;;;;;;
4;говядина ( котлетное мясо);71,3;10;357;7;;;;;;;
5;говядина 2 кат.;69,2;9,8;106;7;;;;;;;
6;говядина тушеная;64,3;17;162;7;;;;;;;
7;"говядина тушеная "" Походная""";64,3;8,0;142;7;;;;;;;
8;кальмары ( тушка);76,4;4,2;421;7;;;;;;;
9;"колбаса "" Докторская""";60,8;22,2;165;7;;;;;;;
10;"колбаса "" Одесская""";42,3;38,1;257;7;;;;;;;
11;"колбаса ""Любительская""";57;28;301;7;;;;;;;
12;колбаса говяжья вареная;70;11,7;203;7;;;;;;;
13;"колбаски ""Олимпийские""";64;25,5;266;7;;;;;;;
14;рулет свиной;57,0;25,6;402;7;;;;;;;
15;салями ;22,5;63,2;220;7;;;;;;;
16;сардельки;68;17,2;349;7;;;;;;;
17;свинина ( котлетное мясо);46,2;41,7;116,0;7;;;;;;;
18;свинина (вырезка);72,4;7,1;116,0;7;;;;;;;
19;свинина жирная;38,4;49,3;287,5;7;;;;;;;
20;свинина мясная;51,5;33,3;608;7;;;;;;;
21;свинина тушеная;51,1;32,2;288;7;;;;;;;
22;сосиски;60,5;23,9;110;7;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;8.Птица и продукты из мяса птицы и яйцепродукты;;;;;;;;;;;
1;бройлеры ( цыплята ) 2 кат.;67,7;11,2;183;8;;;;;;;
2;бройлеры ( цыплята) 1 кат.;63,8;16,1;127;8;;;;;;;
3;грудка куриная;75;4,1;241;8;;;;;;;
4;куры 1 кат.;61,9;18,4;161;8;;;;;;;
5;куры 2 кат.;69,1;8,2;157;8;;;;;;;
6;окорочок куриный;66,6;11;185;8;;;;;;;
7;печень говяжья;71,7;3,7;116,0;8;;;;;;;
8;яйцо куриное;74;11,5;105;8;;;;;;;
9;;;;;;;;;;;;
10;;;;;;;;;;;;
11;;;;;;;;;;;;
12;;;;;;;;;;;;
13;;;;;;;;;;;;
14;;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;9.Рыба, рыбные и другие продукты моря;;;;;;;;;;;
1;камбала;79,7;3,0;90;9;;;;;;;
2;минтай;81,9;0,9;72;9;;;;;;;
3;морская капуста;88;0,2;246;9;;;;;;;
4;навага;82,3;0,9;191;9;;;;;;;
5;пикша ;81,4;0,2;86;9;;;;;;;
6;сельдь;69,3;12;177;9;;;;;;;
7;сельдь жирная;61,3;17,7;145;9;;;;;;;
8;сельдь соленая;63,0;8,5;5;9;;;;;;;
9;скумбрия;67,5;13,2;69;9;;;;;;;
10;скумбрия  натуральная атлантическая;59,7;21,4;71;9;;;;;;;
11;хек;79,9;2,2;258;9;;;;;;;
12;;;;;;;;;;;;
13;;;;;;;;;;;;
14;;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;10.Плодоовощные консервы и пищевые концентраты;;;;;;;;;;;
1;горошек зеленый;84,2;0,2;40;10;;;;;;;
2;варенье из бананов;28,6;0;58;10;;;;;;;
3;варенье сливовое;22,2;0;31;10;;;;;;;
4;груша сушеная;24;0;28;10;;;;;;;
5;джем яблочный ;74,9;0;19;10;;;;;;;
6;"закуска ""Минская""";72,3;8,0;99;10;;;;;;;
7;изюм;19;0;109;10;;;;;;;
8;икра из баклажан;73,6;13,3;23;10;;;;;;;
9;икра из кабачков;77;9;38;10;;;;;;;
10;кисель апельсиновый;14;0;49;10;;;;;;;
11;клюква протертая с сахором;69,1;0;250;10;;;;;;;
12;кукуруза;87;0,4;180;10;;;;;;;
13;курага;20,2;0;246;10;;;;;;;
14;Нектар яблочный;85,1;0;232;10;;;;;;;
15;повидло сливовое;32,9;0;199;10;;;;;;;
16;повидло яблочное;32,9;0;234;10;;;;;;;
17;рагу овощное;72,3;8;227;10;;;;;;;
18;свекла консерв.;89;0;262;10;;;;;;;
19;сок  березово-вишневый;88;0;201;10;;;;;;;
20;сок абрикосовый;84;0;242;10;;;;;;;
21;сок березово- клюквенный;88,1;0;122;10;;;;;;;
22;сок березовый;94;0;148;10;;;;;;;
23;сок клюквенный;90;0;263;10;;;;;;;
24;сок морковно-яблочный;89,5;0;28;10;;;;;;;
25;сок морковный;84,6;0,1;232;10;;;;;;;
26;сок сливовый;82,0;0;135;10;;;;;;;
27;сок томатный;94,3;0;135;10;;;;;;;
28;сок черноплоднорябиново-яблочный;88;0;35;10;;;;;;;
29;сок яблочно- березовый;91,05;0;369,16;10;;;;;;;
30;сок яблочный;88,1;0;94,0;10;;;;;;;
31;соус томатный;69,3;0;28,0;10;;;;;;;
32;сухофрукты ( смесь);20,25;0;40;10;;;;;;;
33;томат-паста;70;0;72;10;;;;;;;
34;урюк;18;0;139;10;;;;;;;
35;фасоль натуральная;84,0;0,8;236,0;10;;;;;;;
36;чернослив;25;0;66;10;;;;;;;
37;Щи из свежей капусты;11,0;5,3;45;10;;;;;;;
38;яблоки сушеные;20;0;56;10;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;11.Продукты детского и диетического питания;;;;;;;;;;;
1;;;;;;;;;;;;
2;;;;;;;;;;;;
3;;;;;;;;;;;;
4;;;;;;;;;;;;
5;;;;;;;;;;;;
6;;;;;;;;;;;;
7;;;;;;;;;;;;
8;;;;;;;;;;;;
9;;;;;;;;;;;;
10;;;;;;;;;;;;
11;;;;;;;;;;;;
12;;;;;;;;;;;;
13;;;;;;;;;;;;
14;;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
